,TOP1_GA-Inception,TOP5_GA-Inception,TOP10_GA-Inception
esp_0_rep_0,24.308755760368662,37.615207373271886,45.73732718894009
esp_0_avg,24.308755760368662,37.615207373271886,45.73732718894009
esp_0.001_rep_0,24.42396313364055,37.55760368663594,45.73732718894009
esp_0.001_avg,24.42396313364055,37.55760368663594,45.73732718894009
esp_0.005_rep_0,24.13594470046083,37.55760368663594,45.73732718894009
esp_0.005_avg,24.13594470046083,37.55760368663594,45.73732718894009
esp_0.01_rep_0,23.617511520737327,37.55760368663594,45.794930875576036
esp_0.01_avg,23.617511520737327,37.55760368663594,45.794930875576036
esp_0.05_rep_0,22.638248847926267,37.384792626728114,45.39170506912443
esp_0.05_avg,22.638248847926267,37.384792626728114,45.39170506912443
esp_0.1_rep_0,21.831797235023043,36.175115207373274,44.98847926267281
esp_0.1_avg,21.831797235023043,36.175115207373274,44.98847926267281
esp_0.15_rep_0,20.56451612903226,35.3110599078341,43.605990783410135
esp_0.15_avg,20.56451612903226,35.3110599078341,43.605990783410135
esp_0.5_rep_0,15.495391705069125,31.39400921658986,39.40092165898618
esp_0.5_avg,15.495391705069125,31.39400921658986,39.40092165898618
